MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:04:96:68:75:a0,WLAN3,[WPA-PSK-TKIP][WPA2--TKIP+CCMP],2012-08-10 20:18:16,13,-82,51.4017202111242,-0.196843764481143,76,10,WIFI
00:04:96:68:54:e1,LBM-Visitor,,2012-08-10 20:18:16,1,-73,51.4017202111242,-0.196843764481143,76,10,WIFI
23415_189_53476659,vodafone UK,UMTS;gb,2012-08-10 20:18:16,0,-65,51.4017202111242,-0.196843764481143,76,10,GSM
00:04:96:56:6a:30,WLAN3,[WPA-PSK-TKIP][WPA2--TKIP+CCMP],2012-08-10 20:18:18,1,-92,51.4017124177396,-0.196886136499493,76,10,WIFI
00:1f:9f:e9:31:e3,BeBox,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:18:21,1,-96,51.4016944286999,-0.196947628915611,80,10,WIFI
2c:b0:5d:ee:8c:a8,virginmedia4374865,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:18:24,1,-97,51.4016920182867,-0.197015609641199,80,10,WIFI
00:04:96:5a:6a:50,LBM-Visitor,,2012-08-10 20:18:24,13,-90,51.4016920182867,-0.197015609641199,80,10,WIFI
00:04:96:56:6a:31,LBM-Visitor,,2012-08-10 20:18:25,1,-93,51.4016914636596,-0.197036316120756,81,10,WIFI
00:04:96:68:90:60,WLAN3,[WPA-PSK-TKIP][WPA2--TKIP+CCMP],2012-08-10 20:18:32,9,-93,51.40166903111,-0.197128731832599,81,10,WIFI
98:2c:be:f9:8f:f9,BTBusinessHub-395,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:18:32,11,-98,51.40166903111,-0.197128731832599,81,10,WIFI
00:04:96:68:90:61,LBM-Visitor,,2012-08-10 20:18:32,9,-93,51.40166903111,-0.197128731832599,81,10,WIFI
e0:46:9a:05:9f:f2,Grmbs,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:18:35,3,-92,51.4016555213799,-0.197177364367423,82,15,WIFI
2c:b0:5d:be:33:fa,virginmedia1867182,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:18:35,10,-96,51.4016555213799,-0.197177364367423,82,15,WIFI
0a:8b:5d:7f:ef:d2,BTFON,,2012-08-10 20:18:35,6,-93,51.4016555213799,-0.197177364367423,82,15,WIFI
06:8b:5d:7f:ef:d2,BTOpenzone-H,,2012-08-10 20:18:35,6,-94,51.4016555213799,-0.197177364367423,82,15,WIFI
00:8b:5d:7f:ef:d2,BTHomeHub2-WR2J,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:18:37,6,-79,51.4016515482824,-0.197225287426425,78,10,WIFI
c4:3d:c7:3f:5e:82,virginmedia7633114,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:18:37,6,-85,51.4016515482824,-0.197225287426425,78,10,WIFI
2c:b0:5d:ca:39:e2,virginmedia5605678,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:18:37,1,-88,51.4016515482824,-0.197225287426425,78,10,WIFI
4c:17:eb:90:88:33,SKY08832,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:18:37,11,-89,51.4016515482824,-0.197225287426425,78,10,WIFI
0a:8b:5d:b0:19:92,BTFON,,2012-08-10 20:18:37,6,-85,51.4016515482824,-0.197225287426425,78,10,WIFI
98:2c:be:f9:8f:fc,BTOpenzone,,2012-08-10 20:18:37,11,-89,51.4016515482824,-0.197225287426425,78,10,WIFI
00:26:44:f8:2d:63,O2wirelessF82D63,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS],2012-08-10 20:18:41,1,-97,51.401668473063,-0.197298043091141,77,10,WIFI
2c:b0:5d:ea:3e:34,virginmedia9329521,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:18:43,6,-97,51.401666544323,-0.197302133575586,76,10,WIFI
34:08:04:d4:73:50,Fab wireless,[WPS],2012-08-10 20:18:46,5,-98,51.4016670258194,-0.197306611260286,77,10,WIFI
06:8b:5d:b0:19:92,BTOpenzone,,2012-08-10 20:19:02,6,-92,51.4016724918342,-0.19736410760053,49,10,WIFI
00:23:68:2f:42:d0,WLAN3,[WPA-PSK-TKIP][WPA2--TKIP+CCMP],2012-08-10 20:19:05,5,-91,51.4016636148623,-0.197435954458459,56,10,WIFI
00:8b:5d:b0:19:92,BTHomeHub2-GWHR,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:19:05,6,-94,51.4016636148623,-0.197435954458459,56,10,WIFI
1c:1d:67:5b:ed:7f,BTHub3-5ZJC,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:19:07,6,-88,51.4016642142341,-0.19745124766663,58,10,WIFI
00:26:f2:48:41:86,russell-wireless,[WPA2-PSK-CCMP][WPS],2012-08-10 20:19:07,11,-89,51.4016642142341,-0.19745124766663,58,10,WIFI
6a:1d:67:5b:ed:79,BTWiFi-with-FON,,2012-08-10 20:19:07,6,-89,51.4016642142341,-0.19745124766663,58,10,WIFI
00:23:68:2f:42:d1,LBM-Visitor,,2012-08-10 20:19:07,5,-93,51.4016642142341,-0.19745124766663,58,10,WIFI
6a:1d:67:5b:ed:78,BTWiFi,,2012-08-10 20:19:07,6,-94,51.4016642142341,-0.19745124766663,58,10,WIFI
23415_189_53476659,vodafone UK,UMTS;gb,2012-08-10 20:19:38,0,-83,51.4015337149926,-0.198103106104404,60,10,GSM
2c:b0:5d:c2:cb:c4,virginmedia9618096,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:12,11,-74,51.4014351796243,-0.198859603842665,54,10,WIFI
fc:75:16:ae:88:88,TALKTALK-AE8888,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:12,1,-85,51.4014351796243,-0.198859603842665,54,10,WIFI
00:fe:f4:36:e3:50,BTHub3-P93C,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:20:12,6,-88,51.4014351796243,-0.198859603842665,54,10,WIFI
00:26:44:91:23:f1,O2wireless9123F1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS],2012-08-10 20:20:12,7,-89,51.4014351796243,-0.198859603842665,54,10,WIFI
00:ac:54:e7:40:52,BTHub3-XTT3,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:20:12,1,-90,51.4014351796243,-0.198859603842665,54,10,WIFI
00:21:29:83:2b:e1,linksys,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:12,11,-83,51.4014351796243,-0.198859603842665,54,10,WIFI
00:24:17:ad:f5:91,PlusnetWireless,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:14,6,-83,51.4014343788591,-0.198894443489822,58,10,WIFI
00:1f:33:fe:4c:a4,chelseafc,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:14,2,-91,51.4014343788591,-0.198894443489822,58,10,WIFI
00:24:b2:44:c4:00,BusyBeesWN,[WPA-PSK-TKIP],2012-08-10 20:20:14,11,-89,51.4014343788591,-0.198894443489822,58,10,WIFI
34:08:04:d4:73:50,Fab wireless,[WPS],2012-08-10 20:20:14,5,-82,51.4014343788591,-0.198894443489822,58,10,WIFI
02:ac:54:e7:40:52,BTOpenzone-H,,2012-08-10 20:20:14,1,-85,51.4014343788591,-0.198894443489822,58,10,WIFI
74:44:01:6a:88:41,virginmedia1411644,[WPA2-PSK-CCMP][WPS],2012-08-10 20:20:16,6,-86,51.4014278756522,-0.198944757488134,57,10,WIFI
12:ac:54:e7:40:52,BTFON,,2012-08-10 20:20:18,1,-90,51.4014213623889,-0.19901215036553,61,10,WIFI
80:b6:86:dc:3e:55,BTHub3-5JC3,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:20:20,7,-89,51.4014169617243,-0.199054760154152,62,10,WIFI
6a:b6:86:dc:3e:57,BTWiFi-with-FON,,2012-08-10 20:20:20,7,-88,51.4014169617243,-0.199054760154152,62,10,WIFI
6a:b6:86:dc:3e:56,BTWiFi,,2012-08-10 20:20:20,7,-89,51.4014169617243,-0.199054760154152,62,10,WIFI
12:fe:f4:36:e3:50,BTWiFi-with-FON,,2012-08-10 20:20:22,6,-86,51.401411844245,-0.199090445375109,61,10,WIFI
02:fe:f4:36:e3:50,BTWiFi,,2012-08-10 20:20:22,6,-86,51.401411844245,-0.199090445375109,61,10,WIFI
23415_189_53476659,vodafone UK,UMTS;gb,2012-08-10 20:20:24,0,-83,51.4014096154609,-0.199139096059999,60,10,GSM
cc:96:a0:8f:dc:2b,BTHub3-SK35,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:20:27,11,-88,51.4014050609849,-0.19918715421603,61,10,WIFI
a0:21:b7:ce:43:a6,virginmedia7075459,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:27,11,-88,51.4014050609849,-0.19918715421603,61,10,WIFI
2c:b0:5d:2f:cc:3a,virginmedia9724465_EXT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:27,11,-91,51.4014050609849,-0.19918715421603,61,10,WIFI
4c:17:eb:63:09:f3,SKY309F2,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:27,1,-92,51.4014050609849,-0.19918715421603,61,10,WIFI
6a:96:a0:8f:dc:2c,BTWiFi,,2012-08-10 20:20:27,11,-84,51.4014050609849,-0.19918715421603,61,10,WIFI
6a:96:a0:8f:dc:2d,BTWiFi-with-FON,,2012-08-10 20:20:27,11,-84,51.4014050609849,-0.19918715421603,61,10,WIFI
e0:91:f5:4f:5a:74,FJ-PC_Network,[WPA2-PSK-CCMP][WPS],2012-08-10 20:20:31,6,-82,51.4013900461611,-0.19924215380694,57,10,WIFI
2c:b0:5d:c2:96:dc,virginmedia9724465,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:33,11,-83,51.4013798928808,-0.199286818300427,55,10,WIFI
4c:17:eb:6b:35:5e,SKYB355D,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:36,1,-82,51.4013626421292,-0.199364918100896,56,10,WIFI
00:17:3f:53:4a:56,belkin54g,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:20:39,1,-91,51.4013574982944,-0.199425391254523,56,10,WIFI
02:fe:f4:1d:b1:a0,BTWiFi,,2012-08-10 20:20:41,6,-88,51.4013478987462,-0.19945205632697,63,10,WIFI
7c:03:4c:a5:8f:f0,SKY58FEF,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:43,6,-86,51.4013346008746,-0.199473834647645,63,10,WIFI
c4:3d:c7:2b:89:e8,Happy House,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:20:43,6,-90,51.4013346008746,-0.199473834647645,63,10,WIFI
00:fe:f4:1d:b1:a0,LENGTHIAN,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:20:45,6,-88,51.4013207545928,-0.199491291502208,62,10,WIFI
08:86:3b:63:aa:f8,belkin.af8,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS],2012-08-10 20:20:45,6,-88,51.4013207545928,-0.199491291502208,62,10,WIFI
00:25:69:fb:40:4a,BTHomeHub2-23SM,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:20:47,11,-90,51.401301176298,-0.199526765276831,67,10,WIFI
00:18:39:67:b0:f7,linksys,[WPA2-PSK-TKIP+CCMP-preauth],2012-08-10 20:20:58,6,-85,51.4011847071376,-0.199681342927493,68,10,WIFI
12:fe:f4:1d:b1:a0,BTWiFi-with-FON,,2012-08-10 20:20:58,6,-83,51.4011847071376,-0.199681342927493,68,10,WIFI
58:6d:8f:fc:13:08,spoidas_web,[WPA2-PSK-CCMP][WPS],2012-08-10 20:21:00,8,-85,51.4011617446411,-0.199712552950368,68,10,WIFI
20:2b:c1:85:f9:03,BTHub3-K248,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:00,1,-90,51.4011617446411,-0.199712552950368,68,10,WIFI
00:26:5a:30:24:a8,Hanya,[WPS][WEP],2012-08-10 20:21:00,6,-86,51.4011617446411,-0.199712552950368,68,10,WIFI
7a:2b:c1:85:f9:05,BTWiFi-with-FON,,2012-08-10 20:21:00,1,-84,51.4011617446411,-0.199712552950368,68,10,WIFI
06:25:69:fb:40:4a,BTOpenzone-H,,2012-08-10 20:21:00,11,-85,51.4011617446411,-0.199712552950368,68,10,WIFI
7a:2b:c1:85:f9:04,BTWiFi,,2012-08-10 20:21:00,1,-88,51.4011617446411,-0.199712552950368,68,10,WIFI
cc:96:a0:36:eb:a2,BTHub3-GJPP,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:02,11,-88,51.4011431902195,-0.199738378947301,70,10,WIFI
00:ac:54:ca:c6:72,BTHub3-NG6Z,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:02,11,-90,51.4011431902195,-0.199738378947301,70,10,WIFI
4a:96:a0:36:eb:a3,BTWiFi,,2012-08-10 20:21:02,11,-84,51.4011431902195,-0.199738378947301,70,10,WIFI
4a:96:a0:36:eb:a4,BTWiFi-with-FON,,2012-08-10 20:21:02,11,-85,51.4011431902195,-0.199738378947301,70,10,WIFI
02:ac:54:ca:c6:72,BTOpenzone-H,,2012-08-10 20:21:02,11,-90,51.4011431902195,-0.199738378947301,70,10,WIFI
12:ac:54:ca:c6:72,BTFON,,2012-08-10 20:21:02,11,-92,51.4011431902195,-0.199738378947301,70,10,WIFI
0a:25:69:fb:40:4a,BTFON,,2012-08-10 20:21:06,11,-85,51.401104528373,-0.19979742944535,65,5,WIFI
00:22:b0:64:a0:40,DSL-2640R,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:12,1,-90,51.40103618181,-0.199874229296869,74,5,WIFI
00:fe:f4:17:97:70,BTHub3-HK3N,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:14,11,-84,51.4010194244148,-0.199897348932441,73,5,WIFI
08:76:ff:5f:8b:29,O2wireless715667,[WEP],2012-08-10 20:21:19,1,-77,51.4009637225895,-0.199953421508914,68,5,WIFI
00:24:b2:34:30:bc,SKY17270,[WPA-PSK-TKIP],2012-08-10 20:21:25,6,-90,51.4008941911059,-0.20002822552342,65,10,WIFI
23415_189_53476659,vodafone UK,UMTS;gb,2012-08-10 20:21:32,0,-79,51.4008287981658,-0.20016639606727,70,10,GSM
cc:96:a0:8f:dc:2b,BTHub3-SK35,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:34,11,-90,51.4008269207395,-0.200201376035612,69,10,WIFI
6a:96:a0:8f:dc:2c,BTWiFi,,2012-08-10 20:21:34,11,-89,51.4008269207395,-0.200201376035612,69,10,WIFI
6a:96:a0:8f:dc:2d,BTWiFi-with-FON,,2012-08-10 20:21:34,11,-91,51.4008269207395,-0.200201376035612,69,10,WIFI
c4:3d:c7:35:10:34,virginmedia7982172,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:21:36,1,-83,51.4008223510034,-0.200238878300709,71,10,WIFI
00:fe:f4:18:c1:d8,BTHub3-9TKC,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:36,11,-83,51.4008223510034,-0.200238878300709,71,10,WIFI
2c:b0:5d:c7:33:ec,virginmedia3151399,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:21:41,11,-86,51.4008078304418,-0.200345336365858,65,10,WIFI
00:17:3f:53:4a:56,belkin54g,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:44,1,-75,51.4007756931128,-0.200443615211494,64,5,WIFI
4c:17:eb:6b:35:5e,SKYB355D,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:21:44,1,-80,51.4007756931128,-0.200443615211494,64,5,WIFI
00:24:17:e6:3b:71,BTHomeHub2-7C57,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:44,7,-81,51.4007756931128,-0.200443615211494,64,5,WIFI
00:26:44:f8:51:2f,O2wirelessF8512F,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS],2012-08-10 20:21:44,6,-86,51.4007756931128,-0.200443615211494,64,5,WIFI
00:22:3f:c2:f8:0a,BLU-RAY WINS,[WEP],2012-08-10 20:21:44,6,-90,51.4007756931128,-0.200443615211494,64,5,WIFI
00:21:29:78:f6:b3,linksys,[WPS],2012-08-10 20:21:44,11,-71,51.4007756931128,-0.200443615211494,64,5,WIFI
02:24:17:e6:3b:73,BTFON,,2012-08-10 20:21:44,7,-80,51.4007756931128,-0.200443615211494,64,5,WIFI
02:24:17:e6:3b:72,BTOpenzone-H,,2012-08-10 20:21:44,7,-80,51.4007756931128,-0.200443615211494,64,5,WIFI
c4:3d:c7:2b:89:e8,Happy House,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:21:46,6,-74,51.4007550416871,-0.200478218807777,63,5,WIFI
32:76:70:c4:f3:ee,BTWiFi-with-FON,,2012-08-10 20:21:46,1,-90,51.4007550416871,-0.200478218807777,63,5,WIFI
00:25:69:fb:40:4a,BTHomeHub2-23SM,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:21:50,11,-76,51.4007058026003,-0.200552163803518,62,5,WIFI
a0:21:b7:ca:39:bf,vasilev,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:21:54,11,-89,51.4006575412274,-0.200615395885998,64,5,WIFI
00:18:4d:cc:2f:94,NETGEAR,,2012-08-10 20:21:54,11,-85,51.4006575412274,-0.200615395885998,64,5,WIFI
e0:91:f5:da:e3:7d,wire1,[WPA2-PSK-CCMP][WPS],2012-08-10 20:21:56,12,-84,51.4006341912657,-0.200643674144194,64,5,WIFI
08:76:ff:3f:6a:c8,PlusnetWireless3F6AC8,[WPA-PSK-TKIP][WPA2-PSK-CCMP],2012-08-10 20:22:00,6,-89,51.4005759573888,-0.200686605397063,65,5,WIFI
06:25:69:fb:40:4a,BTOpenzone-H,,2012-08-10 20:22:04,11,-78,51.4005223594916,-0.200718377022137,65,5,WIFI
1c:af:f7:13:41:ac,MARK MOULDING,[WPS][WEP],2012-08-10 20:22:12,6,-82,51.4004093762225,-0.200787928920954,65,5,WIFI
34:08:04:2d:13:35,SKY48817,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:22:14,6,-88,51.4003806448152,-0.200803116307617,64,5,WIFI
00:fe:f4:02:72:50,BTHub3-KZ24,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:22:24,11,-86,51.4002510392025,-0.200899198101762,56,10,WIFI
0a:25:69:fb:40:4a,BTFON,,2012-08-10 20:22:24,11,-81,51.4002510392025,-0.200899198101762,56,10,WIFI
84:c9:b2:73:73:98,TALKTALK-737398,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:22:30,1,-80,51.4001810525177,-0.200949095404761,64,10,WIFI
00:1f:33:0b:d8:82,SKY57335,[WPA-PSK-TKIP],2012-08-10 20:22:30,2,-89,51.4001810525177,-0.200949095404761,64,10,WIFI
2c:b0:5d:d7:b4:99,Cabeza,[WPA2-PSK-CCMP][WPS],2012-08-10 20:22:34,6,-76,51.4001392899359,-0.201004290876811,69,5,WIFI
00:1f:33:42:ab:ec,Home 99,[WPA-PSK-TKIP],2012-08-10 20:22:36,11,-90,51.4001204873895,-0.201024655474764,66,10,WIFI
06:d0:44:b2:2f:3a,BTOpenzone,,2012-08-10 20:22:40,1,-91,51.4000652134559,-0.201066227174791,66,10,WIFI
00:d0:44:b2:2f:3a,BTHomeHub2-NFXX,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:22:48,1,-89,51.3999522659676,-0.201128289547302,62,5,WIFI
0a:d0:44:b2:2f:3a,BTFON,,2012-08-10 20:22:48,1,-88,51.3999522659676,-0.201128289547302,62,5,WIFI
00:fe:f4:20:60:98,BTHub3-W7NG,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:22:54,1,-91,51.3998805873453,-0.201182163584388,66,5,WIFI
02:fe:f4:20:60:98,BTWiFi,,2012-08-10 20:22:54,1,-88,51.3998805873453,-0.201182163584388,66,5,WIFI
12:fe:f4:20:60:98,BTWiFi-with-FON,,2012-08-10 20:22:54,1,-86,51.3998805873453,-0.201182163584388,66,5,WIFI
23415_189_53476659,vodafone UK,UMTS;gb,2012-08-10 20:22:54,0,-73,51.3998805873453,-0.201182163584388,66,5,GSM
00:26:5a:22:3a:24,Woodpecker777333,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:22:56,6,-88,51.3998576000456,-0.201213986130358,70,10,WIFI
00:24:17:e6:3b:71,BTHomeHub2-7C57,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:23:04,7,-85,51.3997558742609,-0.201301794772282,63,5,WIFI
4c:17:eb:6b:35:5e,SKYB355D,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:23:04,1,-88,51.3997558742609,-0.201301794772282,63,5,WIFI
00:26:44:b6:0b:18,PlusnetWirelessB60B18,[WPA-PSK-TKIP][WPA2-PSK-CCMP],2012-08-10 20:23:04,1,-89,51.3997558742609,-0.201301794772282,63,5,WIFI
02:24:17:e6:3b:72,BTOpenzone-H,,2012-08-10 20:23:04,7,-85,51.3997558742609,-0.201301794772282,63,5,WIFI
02:24:17:e6:3b:73,BTFON,,2012-08-10 20:23:04,7,-89,51.3997558742609,-0.201301794772282,63,5,WIFI
7a:44:01:95:60:29,virginmedia8415763_EXT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:23:12,6,-97,51.3996675563617,-0.201392450738241,62,10,WIFI
a0:21:b7:d6:96:4e,virginmedia2970570,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:23:22,11,-94,51.3995493770455,-0.20153474817053,64,10,WIFI
28:cf:da:b2:47:d1,Schneider Network,[WPA2-PSK-CCMP],2012-08-10 20:23:22,11,-96,51.3995493770455,-0.20153474817053,64,10,WIFI
2a:cf:da:b2:47:d0,Schneider Guest Network,[WPA2-PSK-CCMP],2012-08-10 20:23:22,11,-97,51.3995493770455,-0.20153474817053,64,10,WIFI
32:93:fe:4a:26:0e,ripcurl,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:23:24,6,-93,51.3995250172302,-0.201570974128669,62,10,WIFI
28:93:fe:4a:26:0e,mistral,[WPA2-PSK-CCMP][WPS],2012-08-10 20:23:24,6,-94,51.3995250172302,-0.201570974128669,62,10,WIFI
e0:91:f5:0c:f8:1a,Schneiderweb2GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:23:26,1,-94,51.3995028998154,-0.201593748139973,61,40,WIFI
00:16:01:ad:ca:e3,Buffalo,[WPA-PSK-CCMP],2012-08-10 20:23:36,2,-90,51.3994362343712,-0.201822468796841,64,10,WIFI
00:fe:f4:64:32:40,BTHub3-FNW4,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:23:36,6,-96,51.3994362343712,-0.201822468796841,64,10,WIFI
a0:21:b7:f6:42:f8,virginmedia8415763,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:23:36,6,-97,51.3994362343712,-0.201822468796841,64,10,WIFI
30:46:9a:7d:f0:75,virginmedia2594155,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:23:48,6,-96,51.399413791038,-0.202083997211487,62,10,WIFI
06:d0:44:b2:2f:3a,BTOpenzone,,2012-08-10 20:23:48,1,-89,51.399413791038,-0.202083997211487,62,10,WIFI
02:fe:f4:08:b8:c0,BTWiFi,,2012-08-10 20:23:52,6,-99,51.3994168748483,-0.202168642757785,63,15,WIFI
00:24:2b:54:4c:a5,BTHomeHub2-FCZN,[WPA-PSK-TKIP],2012-08-10 20:23:54,7,-90,51.3994254765304,-0.202206470056379,62,15,WIFI
00:fe:f4:08:b8:c0,BTHub3-W24J,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:23:54,6,-91,51.3994254765304,-0.202206470056379,62,15,WIFI
5c:d9:98:f8:68:3d,SKY68960,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:23:54,11,-93,51.3994254765304,-0.202206470056379,62,15,WIFI
0a:d0:44:b2:2f:3a,BTFON,,2012-08-10 20:23:54,1,-85,51.3994254765304,-0.202206470056379,62,15,WIFI
02:24:2b:54:4c:a7,BTFON,,2012-08-10 20:23:54,7,-89,51.3994254765304,-0.202206470056379,62,15,WIFI
02:24:2b:54:4c:a6,BTOpenzone-H,,2012-08-10 20:23:54,7,-89,51.3994254765304,-0.202206470056379,62,15,WIFI
12:fe:f4:08:b8:c0,BTWiFi-with-FON,,2012-08-10 20:23:54,6,-94,51.3994254765304,-0.202206470056379,62,15,WIFI
23415_189_53476659,vodafone UK,UMTS;gb,2012-08-10 20:23:54,0,-71,51.3994254765304,-0.202206470056379,62,15,GSM
00:d0:44:b2:2f:3a,BTHomeHub2-NFXX,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2012-08-10 20:23:56,1,-88,51.399432509355,-0.202249966718487,62,10,WIFI
00:16:b6:b4:22:4e,linksys,,2012-08-10 20:24:00,11,-96,51.3994221733307,-0.202369189427387,67,10,WIFI
7a:44:01:95:60:29,virginmedia8415763_EXT,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:24:02,6,-88,51.3993906894266,-0.202433578671002,75,15,WIFI
2c:b0:5d:ff:d4:14,virginmedia2275154,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2012-08-10 20:24:04,1,-91,51.3993616731809,-0.202491081565736,74,15,WIFI
